ID Number,Year published,Title of article,Tags / Keywords,Link,Link (Chammika)
1,2003,New models for online learning,Teacher-content,https://www.thencat.com/Articles/erm0352.pdf,"<a href=""https://www.thencat.com/Articles/erm0352.pdf"" target=""_blank"">Link</a>"
2,2020,Online teaching-learning in higher education during lockdown period of COVID-19 pandemic,Teacher-content,https://www.sciencedirect.com/science/article/pii/S2666374020300121,"<a href=""https://www.sciencedirect.com/science/article/pii/S2666374020300121"" target=""_blank"">Link</a>"
3,2020,Assessment of the web-based audience response system socrative for biomedical science revision classes,Teacher-student,https://www.sciencedirect.com/science/article/pii/S266637402030008X,"<a href=""https://www.sciencedirect.com/science/article/pii/S266637402030008X"" target=""_blank"">Link</a>"
4,2020,"Canadian teachers’ attitudes toward change, efficacy, and burnout during the COVID-19 pandemic",Perspectives on teachers,https://www.sciencedirect.com/science/article/pii/S2666374020300169,"<a href=""https://www.sciencedirect.com/science/article/pii/S2666374020300169"" target=""_blank"">Link</a>"
5,2020,Effective Distance Learning Pedagogy In Developing Countries,"Structure, distance learning",https://elearningindustry.com/distance-learning-pedagogy-developing-countries,"<a href=""https://elearningindustry.com/distance-learning-pedagogy-developing-countries"" target=""_blank"">Link</a>"
6,1989,Editorial: Three types of interaction,Structure,https://www.tandfonline.com/doi/abs/10.1080/08923648909526659,"<a href=""https://www.tandfonline.com/doi/abs/10.1080/08923648909526659"" target=""_blank"">Link</a>"
7,2010,The Indicators of Instructor Presence that are Important to Students in Online Courses,Teacher-Content / Teacher-student ,https://jolt.merlot.org/vol6no4/sheridan_1210.htm,"<a href=""https://jolt.merlot.org/vol6no4/sheridan_1210.htm"" target=""_blank"">Link</a>"
8,2020,A Blueprint for Executing Instructor-Student Interactions in the Online Classroom Using Marketing Touchpoints,Teacher - student,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3557839,"<a href=""https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3557839"" target=""_blank"">Link</a>"
9,2021,Instructional Strategies for Online Teaching in COVID-19 Pandemic,"Teacher-content, teacher-student",https://onlinelibrary.wiley.com/doi/10.1002/hbe2.218,"<a href=""https://onlinelibrary.wiley.com/doi/10.1002/hbe2.218"" target=""_blank"">Link</a>"
10,2021,Instructional Strategies for Online Courses,Teacher-content,https://www.uis.edu/ion/resources/tutorials/pedagogy/instructional-strategies-for-online-courses/,"<a href=""https://www.uis.edu/ion/resources/tutorials/pedagogy/instructional-strategies-for-online-courses/"" target=""_blank"">Link</a>"
11,2017,Instructional strategies and course design for teaching statistics online: perspectives from online students,"Teacher-content, student-student",https://stemeducationjournal.springeropen.com/articles/10.1186/s40594-017-0096-x,"<a href=""https://stemeducationjournal.springeropen.com/articles/10.1186/s40594-017-0096-x"" target=""_blank"">Link</a>"
12,2020,Business (Teaching) as Usual Amid the COVID-19 Pandemic: A Case Study of Online Teaching Practice in Hong Kong,"Teacher-content, teacher-student",https://www.informingscience.org/Publications/4620,"<a href=""https://www.informingscience.org/Publications/4620"" target=""_blank"">Link</a>"
13,2020,The Perceptions of Primary School Teachers of Online Learning during the COVID-19 Pandemic Period: A Case Study in Indonesia,"Teacher-content, teacher-student",http://www.ejecs.org/index.php/JECS/article/view/388,"<a href=""http://www.ejecs.org/index.php/JECS/article/view/388"" target=""_blank"">Link</a>"
14,2020,Faculty persistence with research-based instructional strategies: a case study of participation in a faculty online learning community,Teacher-content,https://stemeducationjournal.springeropen.com/articles/10.1186/s40594-020-00221-8,"<a href=""https://stemeducationjournal.springeropen.com/articles/10.1186/s40594-020-00221-8"" target=""_blank"">Link</a>"
15,2020,Gamification as Online Teaching Strategy During COVID-19: A Mini-Review,Teacher-content,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.648552/full,"<a href=""https://www.frontiersin.org/articles/10.3389/fpsyg.2021.648552/full"" target=""_blank"">Link</a>"
16,2020,Online Teaching in Medical Training: Establishing Good Online Teaching Practices from Cumulative Experience,"Teacher-content, student-content",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7534709/,"<a href=""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7534709/"" target=""_blank"">Link</a>"
17,2021,"LAB Theory, HLAB Pedagogy, and Review of Laboratory Learning in Chemistry during the COVID-19 Pandemic",Teacher-content,https://pubs.acs.org/doi/full/10.1021/acs.jchemed.1c00457,"<a href=""https://pubs.acs.org/doi/full/10.1021/acs.jchemed.1c00457"" target=""_blank"">Link</a>"
